Source,Year,Mean
GCAG,1912,-0.3318
GISTEMP,1912,-0.35
GCAG,1911,-0.4367
GISTEMP,1911,-0.45
GCAG,1910,-0.3862
GISTEMP,1910,-0.43
GCAG,1909,-0.4332
GISTEMP,1909,-0.48
GCAG,1908,-0.4441
GISTEMP,1908,-0.43
GCAG,1907,-0.3767
GISTEMP,1907,-0.4
GCAG,1906,-0.2208
GISTEMP,1906,-0.23
GCAG,1905,-0.2967
GISTEMP,1905,-0.28
GCAG,1904,-0.4240
GISTEMP,1904,-0.45
GCAG,1903,-0.3442
GISTEMP,1903,-0.36
GCAG,1902,-0.2535
GISTEMP,1902,-0.28
GCAG,1901,-0.1471
GISTEMP,1901,-0.15
GCAG,1900,-0.0704
GISTEMP,1900,-0.09
GCAG,1899,-0.1172
GISTEMP,1899,-0.16
GCAG,1898,-0.2578
GISTEMP,1898,-0.28
GCAG,1897,-0.1232
GISTEMP,1897,-0.11
GCAG,1896,-0.0971
GISTEMP,1896,-0.15
GCAG,1895,-0.2279
GISTEMP,1895,-0.21
GCAG,1894,-0.2828
GISTEMP,1894,-0.3
GCAG,1893,-0.3221
GISTEMP,1893,-0.3
GCAG,1892,-0.3079
GISTEMP,1892,-0.26
GCAG,1891,-0.2552
GISTEMP,1891,-0.24
GCAG,1890,-0.3233
GISTEMP,1890,-0.36
GCAG,1889,-0.1032
GISTEMP,1889,-0.11
GCAG,1888,-0.1541
GISTEMP,1888,-0.2
GCAG,1887,-0.2559
GISTEMP,1887,-0.33
GCAG,1886,-0.2101
GISTEMP,1886,-0.3
GCAG,1885,-0.2220
GISTEMP,1885,-0.31
GCAG,1884,-0.2099
GISTEMP,1884,-0.28
GCAG,1883,-0.1481
GISTEMP,1883,-0.2
GCAG,1882,-0.0710
GISTEMP,1882,-0.1
GCAG,1881,-0.0707
GISTEMP,1881,-0.12
GCAG,1880,-0.1247
GISTEMP,1880,-0.2
